iter	Passed	Remaining
0	123	123245
1	125	62401
2	126	42093
3	128	32023
4	130	25876
5	131	21736
6	132	18797
7	133	16605
8	135	14891
9	136	13491
10	137	12361
11	138	11413
12	139	10621
13	141	9931
14	142	9337
15	144	8878
16	146	8490
17	148	8099
18	150	7771
19	151	7444
20	153	7160
21	156	6955
22	157	6707
23	159	6472
24	161	6290
25	162	6098
26	164	5940
27	166	5776
28	168	5629
29	169	5473
30	171	5349
31	172	5218
32	174	5118
33	176	5001
34	177	4900
35	178	4792
36	180	4697
37	181	4599
38	182	4508
39	184	4424
40	186	4367
41	188	4292
42	189	4224
43	191	4159
44	192	4090
45	194	4038
46	196	3981
47	197	3923
48	199	3868
49	200	3818
50	202	3772
51	203	3718
52	205	3676
53	207	3628
54	208	3581
55	209	3534
56	210	3489
57	212	3450
58	213	3406
59	214	3367
60	216	3327
61	217	3296
62	219	3264
63	220	3228
64	222	3193
65	223	3164
66	225	3137
67	226	3103
68	227	3074
69	229	3045
70	230	3016
71	231	2985
72	233	2966
73	234	2940
74	236	2915
75	237	2887
76	238	2862
77	240	2837
78	241	2812
79	242	2789
80	243	2767
81	245	2744
82	245	2717
83	247	2694
84	248	2673
85	249	2652
86	250	2630
87	252	2612
88	253	2595
89	254	2575
90	255	2554
91	256	2534
92	258	2517
93	259	2498
94	260	2480
95	261	2462
96	262	2446
97	264	2431
98	265	2416
99	266	2401
100	268	2385
101	268	2368
102	270	2353
103	271	2339
104	272	2325
105	273	2309
106	274	2294
107	276	2286
108	278	2272
109	279	2260
110	280	2246
111	281	2231
112	282	2218
113	283	2206
114	285	2197
115	286	2184
116	287	2169
117	288	2159
118	290	2149
119	291	2138
120	292	2128
121	293	2114
122	295	2103
123	296	2092
124	297	2082
125	298	2073
126	299	2060
127	301	2050
128	302	2042
129	303	2034
130	304	2023
131	305	2011
132	306	2000
133	308	1991
134	309	1982
135	310	1972
136	311	1962
137	312	1952
138	313	1944
139	315	1935
140	316	1925
141	316	1913
142	317	1903
143	318	1893
144	319	1884
145	320	1875
146	321	1866
147	322	1858
148	323	1849
149	324	1839
150	325	1830
151	326	1822
152	327	1814
153	328	1805
154	329	1796
155	330	1787
156	331	1778
157	332	1771
158	333	1763
159	334	1755
160	335	1746
161	335	1737
162	336	1729
163	337	1721
164	338	1714
165	339	1707
166	342	1706
167	342	1698
168	343	1690
169	344	1683
170	346	1678
171	347	1670
172	347	1663
173	348	1656
174	350	1650
175	351	1644
176	352	1637
177	352	1629
178	353	1622
179	354	1615
180	355	1610
181	357	1606
182	358	1600
183	359	1594
184	360	1588
185	361	1582
186	363	1578
187	364	1574
188	365	1569
189	366	1563
190	368	1559
191	369	1554
192	370	1549
193	371	1545
194	373	1541
195	375	1539
196	377	1538
197	378	1533
198	379	1529
199	382	1530
200	384	1526
201	385	1522
202	388	1525
203	390	1522
204	391	1518
205	393	1517
206	395	1513
207	396	1509
208	397	1504
209	398	1500
210	401	1499
211	402	1495
212	403	1490
213	404	1487
214	406	1484
215	408	1481
216	409	1476
217	410	1472
218	411	1468
219	413	1467
220	415	1464
221	417	1462
222	419	1460
223	420	1457
224	421	1453
225	424	1453
226	426	1451
227	427	1447
228	428	1442
229	429	1438
230	430	1434
231	432	1432
232	433	1427
233	435	1423
234	436	1421
235	438	1418
236	440	1417
237	447	1431
238	451	1436
239	452	1433
240	453	1429
241	455	1426
242	456	1423
243	458	1419
244	459	1415
245	461	1413
246	462	1409
247	463	1405
248	464	1401
249	465	1397
250	466	1392
251	468	1389
252	469	1385
253	470	1381
254	471	1377
255	472	1373
256	473	1370
257	475	1367
258	476	1364
259	478	1360
260	479	1356
261	480	1353
262	481	1349
263	482	1346
264	484	1342
265	485	1338
266	486	1336
267	488	1333
268	489	1329
269	490	1325
270	491	1321
271	492	1318
272	494	1316
273	495	1312
274	496	1309
275	497	1305
276	498	1302
277	500	1299
278	501	1295
279	502	1292
280	503	1288
281	504	1285
282	505	1281
283	507	1278
284	508	1275
285	509	1271
286	510	1268
287	511	1265
288	513	1262
289	514	1258
290	515	1255
291	516	1251
292	517	1249
293	518	1245
294	520	1244
295	521	1241
296	523	1238
297	524	1235
298	526	1233
299	527	1230
300	528	1226
301	529	1223
302	530	1220
303	531	1217
304	532	1213
305	533	1210
306	534	1207
307	535	1203
308	537	1200
309	538	1197
310	539	1194
311	540	1191
312	541	1187
313	542	1184
314	543	1182
315	544	1179
316	545	1176
317	546	1172
318	548	1169
319	549	1167
320	550	1164
321	551	1161
322	552	1158
323	553	1155
324	554	1152
325	556	1150
326	557	1147
327	558	1144
328	559	1141
329	560	1138
330	562	1136
331	563	1134
332	564	1131
333	565	1128
334	566	1125
335	568	1123
336	569	1120
337	570	1117
338	572	1115
339	573	1113
340	574	1110
341	575	1108
342	577	1105
343	578	1103
344	580	1101
345	581	1098
346	582	1096
347	583	1093
348	584	1090
349	585	1087
350	586	1085
351	588	1082
352	589	1080
353	590	1077
354	591	1075
355	593	1073
356	594	1071
